# adversarial audit (2026-07-30) of the cross-POS 'same' verdicts in
# lemma.equivalences.seed.tsv - the mutation-pair and unclassified families,
# 202 pairs; the s'-comparative, n'-verbal and suffix-variant families were
# not audited (structurally derivational, lower risk). Each pair was read
# against the printed entries in cregeen-nvh. refute = two lexemes conflated
# (the verdict in the seed is flipped to distinct); unsure = the print does
# not settle it. 77 refuted, 4 unsure, 121 confirmed.
idA	idB	verdict	evidence
ghlenney.v	glenney.a	refute	ghlenney.v is "er ghlenney" "hath cleansed", the perfect of the verb glenney "cleansing" (proper target glenney.v, which exists), while glenney.a is a. pl. "clean, clear, pure, perfect", the plural of the adjective glen (both G-90 but different entries).
ghlioon.v	glioon.n	refute	ghlioon.v is 'did kneel' (G-97), past of the verb glioon 'kneel' whose own id glioon.v exists; glioon.n is the noun 'a knee, a crooked timber'.
ghloyr.v	gloyr.n	confirm	ghloyr 'did glorify' and gloyr 'glory' / v. 'glorify' are one G-105 family.
ghoin.x	goin.v	confirm	goin "I would take" (from gow-in) and ghoin "I would take" (from ghowin, lenited) are both conditional 1sg of 'take' in family G-135.
ghortagh.n	gortagh.v	confirm	'yn ghortagh' = 'the hurt' and gortagh v. 'hurting' are both family G-129, the same 'hurt' word as noun and verb (the note's 'stingy' gloss belongs to the unrelated gortagh a. G-131, but the id pair itself is same-word).
ghowys.v	gowys.x	confirm	both printed entries ("my ghowys" v. and the gowys stub) are cross-references to goys "shall or will take or receive", future of gow "take", family G-135.
ghrain.x	grain.n	refute	The printed ghrain entry is a variant of ghrainn 'did grave or carve' (G-138, radical grainn 'grave, carve'), but grain.n is 'oat-grist' s.m. (G-137); carving-verb and grist-noun are different lexemes.
ghrainn.v	grainnee.x	confirm	ghrainn 'did grave or carve' and grainnee (printed variant of grainn) are one G-138 engrave family.
ghrainnee.v	grainnee.x	confirm	grainnee is a printed variant of grainn "grave, carve" (v., G-138) and ghrainnee "did, &c. grave" (G-138) is its lenited preterite; one engrave verb.
ghrees.v	greesee.x	confirm	ghrees v. 'did stir up to action, or kindle to wrath' (lenited past) and greesee (printed variant of grees) are both family G-151, the same incite verb.
ghreim.v	ghreme.x	refute	ghreim.v is ghreim v. "did hold, grasp, stitch" (the mutated verb), while ghreme.x is "e ghreme/e ghreim" s. "his hold, grasp, stitch, or bite", the possessed NOUN greim "a bite, hold" (proper target greim.n), both G-153 but different entries.
ghreim.v	greim.n	confirm	Both are G-153: ghreim 'did hold, grasp, stitch' is the past of greimm 'bite, hold', which Cregeen prints as a variant of greim 'a bite, hold, stitch' and whose forms all feed greim.n (no greim.v exists).
ghreinn.v	greinnee.x	confirm	ghreinn 'did urge or stimulate, did encourage' and greinnee are both family G-154 (greinn 'urge/incite').
ghreme.x	greim.n	confirm	e ghreme is a printed variant of e ghreim "his hold, grasp, stitch, or bite", lenited form of greim "a bite, hold, stitch, gobbet, or bit" (s.m., G-153); same noun.
ghrynder.n	grynder.x	confirm	'yn ghrynder' = 'the giber' and grynder (printed see-reference to grinder s.m. 'a satirist, a taunter') are both family G-161, the same word.
ghweeaghyn.n	gweeaghyn.v	confirm	e ghweeaghyn s. "his cursing" is the possessive-mutated form of gweeaghyn v. "cursing" (G-186); no separate noun radical is printed, so both entries gloss the one verbal noun "cursing".
gientyn.v	yientyn.x	confirm	Both are G-69 'conceive': gientyn 'conceiving' and er ny yientyn 'having been conceived', its mutated participial construction.
gimman.n	imman.v	refute	gimman s. (G-73) is the radical of ghimman 'an admirer, a suiter or lover' (Ezk. xvi. 33); imman.v is 'drive' (I-12), and the participial gimman 'driving' entry in I-12 already feeds imman.v - lover vs drive.
gione.x	kione.n	refute	gione.x is my ny gione "about them, about whom" (p. p., family M-171, the mychione 'about' preposition-pronoun), but kione.n is the noun kione 'head' (s.m., with yn chione/nyn gione); a preposition entry conflated with the head noun, the hug-type failure.
haaue.n	taaue.x	unsure	There is no printed haaue headword: printed h-aaue forms divide across three radicals, e haaue 'his saw' (S-3, saaue), my haaue 'my safety' (S-19, saue), and ny haaue 'idle' (T-5, taau); taaue.x is the T-5 'idle' variant entry, so the equivalence holds only if haaue.n names the ny haaue/taau reading, which the print does not settle.
hannaght.x	tannaght.v	confirm	dy hannaght "to continue, abide, tarry, or endure" is the lenited infinitive of tannaght v. "continuing, tarrying, abiding", both family T-18.
hast.x	tast.v	refute	hast.x names the pos-less printed hast entry 'see hiast' (S-100, shast/shiast 'dry, sterile, barren, not giving milk'), but tast.v is 'heed, attend, notice, observe' (T-31), whose past hast 'did heed' has its own id hast.v.
hig.x	tar.v	confirm	The printed hig entry sits in the C-96 come family (radicalInitial Ch, i.e. çheet) alongside tar 'come, come away'; hig is the future 'will come' of that suppletive verb.
hoil.x	toill.v	confirm	hoil, printed variant of hoill "did deserve, merit, earn" (T-111), is the lenited preterite of toill "deserve" (v., T-111); same verb.
howse.x	towse.n	confirm	howse is a printed variant of howsh 'did measure, measured' (T-125), the lenited past of towse, and towse.n is towse s.m. 'a measure' (with towse v. 'measuring') in the same family T-125.
jean.v	nee.x	refute	jean.v is the irregular verb "do/make" (whose real future nee, J-19 "will or wilt do", already feeds jean.v as a closed-class form), while nee.x is the B-65 COPULA entry (the pos-less nee stub alongside "cha nee" "is not" and "dy nee" "that is, that were, that was") - the cur/hug failure mode.
jeeg.x	jeeig.v	refute	jeeg.x is the pos-less jeeg entry, Cregeen's printed variant of the noun jeeig s.f. 'a ditch, a moat, or drain' (whose id jeeig.n exists), but jeeig.v is the separate verb entry 'drain, ditch' (both J-30).
jeih.a	yeih.x	refute	The printed yeih entry (J-44) is a cross-reference 'See ny yeih' = ny-yeih adv. 'nevertheless, notwithstanding, howbeit' in the jeï 'after/behind' family; jeih.a is the numeral 'ten' (J-47) - nevertheless vs ten.
jeih.n	yeih.x	refute	yeih.x is the bare yeih entry (J-44), a see-reference to ny-yeih "nevertheless, notwithstanding, howbeit" in the yeï 'after' family, but jeih.n is the numeral jeih "ten" (J-47, e yeih "his ten"); 'nevertheless' conflated with 'ten'.
keynnagh.n	keynnee.a	confirm	keynnagh s.f. 'moss' (pl. keynnee) and keynnee a.d. 'of moss' are both family K-65, the genitive/attributive form of the same noun.
lhiannoo.n	lhiennoo.a	confirm	lhiannoo s. m. "a child" and lhiennoo a. d. "of children, of the child" is its genitive/plural-stem form, both family L-72.
lhiannoo.n	lhiennoo.v	refute	lhiannoo.n is 'a child' (L-72, plural lhiennoo feeds it), but lhiennoo.v is the printed '<dy> lhiennoo' v. 'did surname, surnamed' (S-246, Mark iii. 16-17); child-noun and surname-verb are different lexemes.
marroo.n	varroo.v	confirm	varroo.v is dy my varroo 'to kill or slay me' (lenited marroo v. 'killing') and marroo.n is marroo s. / yn varroo 'the dead or deceased person' - both Cregeen's one marroo kill/dead family M-32.
mie.v	share.a	confirm	share "better, best" (a., M-91) is printed as "the comp. and sup. of mie" (relation compSupOf mie), and mie.v is the closed-class id whose sole form is that same irregular comparative share of mie "good"; one suppletive paradigm.
mooar.v	smoo.a	refute	mooar.v names the printed mooar v. 'grudge, envy, seeing big or large' (M-132), but smoo a. 'bigger, biggest' is printed with an explicit CompSupVariant relation to the adjective mooar 'big, large, great'; smoo belongs to mooar.a, not the grudge verb.
mooin.n	vooin.x	refute	mooin.n is mooin s. "back" (M-136, "er e vooin" on his back), while vooin.x is fed by wooin p. p. "from us" (V-3), a prepositional pronoun; neither is the other's mutation (the urine verb is separately mooin.v).
ollay.n	ollee.a	refute	ollay.n is 'a swan' (O-46; its plural ollee is only an inflected form inside that entry), but the printed ollee a.d. entry that ollee.a names is 'of cattle' (O-43, genitive of ollagh 'cattle').
rio.v	rioee.a	confirm	rio v. 'freeze, coagulate', rio s.m. 'frost, ice', and rioee a.d. 'of frost or ice' are one R-85 family.
sahll.n	saill.v	refute	sahll.n is sahll "saim... the blubber of fish... grease" (s.m., S-7, with saill as its printed variant), but saill.v is the separate verb entry saill "salt" (v., S-10, inflections saillagh/saillym); the note's "identical fat/blubber definition" only holds for the S-7 variant, not the salt verb the id names.
sannish.n	sonnish.v	confirm	sannish s.f. 'a whisper' and sonnish (printed as variant of sannish for both the noun and the verb 'to whisper or susurrate') are one word in family S-14.
sayntoilagh.n	sayntoilee.a	refute	sayntoilagh.n is the s. m. entry "a covetous person" (person-noun), while sayntoilee.a is the printed sayntoilee a. entry, the idem/comparative of the ADJECTIVE sayntoilagh "covetous" (proper target sayntoilagh.a), both S-23 but different entries.
seigh.n	seiy.v	confirm	seigh s.m. 'a mix or stir' (S-76, 'pup of the first litter' example) is the action noun of the printed seiy v. 'mix, stir' in the same family; caveat: the seiy.v id also spans the homographic seiy 'to push or shove' (S-75).
sharragh.n	sharree.a	confirm	sharragh s.m. 'a foal' (pl. sharree) and sharree a.d. (its genitive) are one S-94 word.
sheillee.a	shellagh.x	refute	sheillee.a is sheillee "of salix or willow" (a. d., S-126, see sheillagh "salix, black willow or sally"), but shellagh.x is the printed shellagh entry of S-128, a variant of shell "imagine, suppose, conjecture" (v.); willow adjective conflated with the imagine verb.
soi.v	soiaghey.x	confirm	soi v. 'set, sit, plant' (S-307) and soiaghey (printed as variant of soiagh v. 'setting, planting', its verbal noun) are the same verb in family S-307.
soi.v	soie.x	confirm	soi v. "set, sit, plant" and soie (printed pos-less variant, plus soie v. "sit, set, plant") are the same verb, family S-307.
soilshagh.v	soilshee.a	confirm	Both are the S-312 stem: soilshagh 'enlightening, declaring, publishing' is the verbal noun of soilsh 'enlighten, declare, illume', and soilshee is Cregeen's printed variant of that verb (hoilshee a.d. 'of light or enlightening'); the table folds the soilsh verb under soilshee.a.
taa.x	taah.n	confirm	taa is printed as a variant of taah 'a weld, a solder' / v. 'weld, solder' - one T-1 word.
tastey.n	tastid.x	unsure	tastey "notice, heed, observation" and tastid "sagacity, attention" are separate printed headwords (distinct -ey/-id derivatives, both s.m., T-31), yet the family apparatus marks e hastid as a variant of e hastey "his intellect, sagacity, heed, notice"; the print does not settle whether they are one lexeme or two.
thollee.x	toallee.a	confirm	Printed thollee is an explicit variant relation to toallee a. 'tall and strong, robust, athletic, corpulent' (T-104), with ro hollee 'See hoallee' in the same family, exactly as the note says.
toiggalagh.n	toiggaltagh.x	unsure	toiggaltagh is printed only as a bare pos-less variant of toiggalagh between the s. m. entry "a person that understands" (= toiggalagh.n) and the comparative s'toiggaltagh a. "how knowing"; the print never says whether the variant names the person-noun or the adjective (the id's comp/sup forms s'toiggaltagh/s'toiggaltee suggest the adjective toiggalagh.a).
towl.n	tuill.a	confirm	Both are T-124: towl 'a hole' with plural tuill 'holes', and the tuill a.d. entry is that noun's genitive in the same family.
yllagh.n	yllee.x	confirm	yllagh s.m. 'a call or shout' and yllee.x (yll/yllee shout-verb variants) are one Y-12 family.
yllagh.v	yllee.x	confirm	dy yllagh "to call, to shout or cry out" and yllee, printed variant of yll "shout, cry out, exclaim, call" (v., Y-12), are forms of the one shout verb.
ymmilt.v	ymmylt.n	confirm	ymmilt v. 'tumble or roll, as a horse does after work' and ymmylt s. 'wallowing' (2 Pet. ii. 22, with printed see/variant relations to ymmilt) are the same word in family Y-15.
ymmilt.v	ymmylt.x	confirm	ymmilt v. "tumble or roll, as a horse does after work" and ymmylt, printed only as see/variant cross-references to ymmilt (plus the same word's s. "wallowing"), are one lexeme, family Y-15.
yns.v	ynsagh.n	confirm	Both are Y-23: yns 'learn, teach, instruct' and ynsagh s.m. 'learning, literature, erudition, instruction, doctrine', its verbal/action noun (also listed as an inflected form of yns).
yns.v	ynsee.a	confirm	yns v. 'learn, teach, instruct' and ynsee a.d. 'of learning or teaching' are one Y-23 word.
